,x_m,y_m,w_left,w_right
0,-27.0,0.0,2.0,2.0
1,-26.0,0.0,2.0,2.0
2,-25.0,0.0,2.0,2.0
3,-24.0,0.0,2.0,2.0
4,-23.0,0.0,2.0,2.0
5,-21.999999999999996,0.0,2.0,2.0
6,-21.000000000000004,0.0,2.0,2.0
7,-20.0,0.0,2.0,2.0
8,-19.0,0.0,2.0,2.0
9,-18.0,0.0,2.0,2.0
10,-17.0,0.0,2.0,2.0
11,-15.999999999999998,0.0,2.0,2.0
12,-14.999999999999996,0.0,2.0,2.0
13,-14.000000000000002,0.0,2.0,2.0
14,-13.0,0.0,2.0,2.0
15,-12.0,0.0,2.0,2.0
16,-10.999999999999998,0.0,2.0,2.0
17,-9.999999999999998,0.0,2.0,2.0
18,-8.999999999999996,0.0,2.0,2.0
19,-8.000000000000002,0.0,2.0,2.0
20,-7.000000000000001,0.0,2.0,2.0
21,-6.0,0.0,2.0,2.0
22,-4.999999999999999,0.0,2.0,2.0
23,-3.9999999999999982,0.0,2.0,2.0
24,-2.9999999999999973,0.0,2.0,2.0
25,-2.0000000000000018,0.0,2.0,2.0
26,-1.0000000000000009,0.0,2.0,2.0
27,0.0,0.0,2.0,2.0
28,1.0,0.0,2.0,2.0
29,2.0,0.0,2.0,2.0
30,3.0,0.0,2.0,2.0
31,4.0,0.0,2.0,2.0
32,5.0,0.0,2.0,2.0
33,6.0,0.0,2.0,2.0
34,7.000000000000001,0.0,2.0,2.0
35,8.0,0.0,2.0,2.0
36,9.0,0.0,2.0,2.0
37,10.0,0.0,2.0,2.0
38,11.0,0.0,2.0,2.0
39,12.0,0.0,2.0,2.0
40,13.0,0.0,2.0,2.0
41,14.000000000000002,0.0,2.0,2.0
42,15.0,0.0,2.0,2.0
43,16.0,0.0,2.0,2.0
44,17.0,0.0,2.0,2.0
45,18.0,0.0,2.0,2.0
46,19.0,0.0,2.0,2.0
47,20.0,0.0,2.0,2.0
48,21.0,0.0,2.0,2.0
49,22.0,0.0,2.0,2.0
50,23.0,0.0,2.0,2.0
51,24.0,0.0,2.0,2.0
52,25.0,0.0,2.0,2.0
53,26.0,0.0,2.0,2.0
54,27.0,0.0,2.0,2.0
55,28.000000000000004,0.0,2.0,2.0
56,29.090909090909093,0.0,2.0,2.0
57,30.181818181818183,0.0,2.0,2.0
58,31.272727272727273,0.0,2.0,2.0
59,32.36363636363637,0.0,2.0,2.0
60,33.45454545454545,0.0,2.0,2.0
61,34.54545454545455,0.0,2.0,2.0
62,35.63636363636364,0.0,2.0,2.0
63,36.727272727272734,0.0,2.0,2.0
64,37.81818181818181,0.0,2.0,2.0
65,38.909090909090914,0.0,2.0,2.0
66,40.0,0.0,2.0,2.0
67,41.045284632676534,0.05478104631726666,2.0,2.0
68,42.079116908177596,0.2185239926619431,2.0,2.0
69,43.09016994374947,0.48943483704846535,2.0,2.0
70,44.067366430758,0.8645454235739916,2.0,2.0
71,45.0,1.3397459621556145,2.0,2.0
72,45.877852522924734,1.9098300562505273,2.0,2.0
73,46.691306063588584,2.568551745226058,2.0,2.0
74,47.43144825477394,3.3086939364114185,2.0,2.0
75,48.09016994374947,4.122147477075269,2.0,2.0
76,48.66025403784438,5.0,2.0,2.0
77,49.13545457642601,5.932633569241997,2.0,2.0
78,49.510565162951536,6.9098300562505255,2.0,2.0
79,49.78147600733806,7.920883091822406,2.0,2.0
80,49.94521895368273,8.954715367323463,2.0,2.0
81,50.0,10.0,2.0,2.0
82,50.0,11.090909090909092,2.0,2.0
83,50.0,12.181818181818183,2.0,2.0
84,50.0,13.272727272727273,2.0,2.0
85,50.0,14.363636363636365,2.0,2.0
86,50.0,15.454545454545455,2.0,2.0
87,50.0,16.545454545454547,2.0,2.0
88,50.0,17.636363636363637,2.0,2.0
89,50.0,18.727272727272727,2.0,2.0
90,50.0,19.818181818181817,2.0,2.0
91,50.0,20.90909090909091,2.0,2.0
92,50.0,22.0,2.0,2.0
93,50.0,23.0,2.0,2.0
94,50.0,24.0,2.0,2.0
95,50.0,25.0,2.0,2.0
96,50.0,26.0,2.0,2.0
97,50.0,27.0,2.0,2.0
98,50.0,28.0,2.0,2.0
99,50.0,29.0,2.0,2.0
100,50.0,30.0,2.0,2.0
101,50.0,30.999999999999996,2.0,2.0
102,50.0,32.0,2.0,2.0
103,50.0,33.0,2.0,2.0
104,50.0,34.0,2.0,2.0
105,50.0,35.0,2.0,2.0
106,50.0,36.0,2.0,2.0
107,50.0,37.0,2.0,2.0
108,50.0,38.0,2.0,2.0
109,50.0,39.09090909090909,2.0,2.0
110,50.0,40.18181818181818,2.0,2.0
111,50.0,41.27272727272727,2.0,2.0
112,50.0,42.36363636363636,2.0,2.0
113,50.0,43.45454545454545,2.0,2.0
114,50.0,44.54545454545455,2.0,2.0
115,50.0,45.63636363636363,2.0,2.0
116,50.0,46.727272727272734,2.0,2.0
117,50.0,47.81818181818182,2.0,2.0
118,50.0,48.909090909090914,2.0,2.0
119,50.0,50.0,2.0,2.0
120,49.94521895368273,51.045284632676534,2.0,2.0
121,49.78147600733806,52.079116908177596,2.0,2.0
122,49.510565162951536,53.09016994374947,2.0,2.0
123,49.13545457642601,54.067366430758,2.0,2.0
124,48.66025403784438,55.0,2.0,2.0
125,48.09016994374947,55.877852522924734,2.0,2.0
126,47.43144825477394,56.691306063588584,2.0,2.0
127,46.691306063588584,57.43144825477394,2.0,2.0
128,45.877852522924734,58.09016994374947,2.0,2.0
129,45.0,58.66025403784438,2.0,2.0
130,44.067366430758,59.13545457642601,2.0,2.0
131,43.09016994374947,59.510565162951536,2.0,2.0
132,42.079116908177596,59.78147600733806,2.0,2.0
133,41.045284632676534,59.94521895368273,2.0,2.0
134,40.0,60.0,2.0,2.0
135,38.90909090909091,60.0,2.0,2.0
136,37.81818181818182,60.0,2.0,2.0
137,36.72727272727273,60.0,2.0,2.0
138,35.63636363636363,60.0,2.0,2.0
139,34.54545454545455,60.0,2.0,2.0
140,33.45454545454545,60.0,2.0,2.0
141,32.36363636363636,60.0,2.0,2.0
142,31.272727272727273,60.0,2.0,2.0
143,30.18181818181818,60.0,2.0,2.0
144,29.09090909090909,60.0,2.0,2.0
145,28.0,60.0,2.0,2.0
146,27.0,60.0,2.0,2.0
147,26.0,60.0,2.0,2.0
148,24.999999999999996,59.99999999999999,2.0,2.0
149,24.0,60.0,2.0,2.0
150,22.999999999999996,60.0,2.0,2.0
151,21.999999999999996,60.00000000000001,2.0,2.0
152,20.999999999999993,60.0,2.0,2.0
153,20.0,60.0,2.0,2.0
154,18.999999999999996,60.0,2.0,2.0
155,17.999999999999993,60.0,2.0,2.0
156,17.0,60.0,2.0,2.0
157,15.999999999999996,60.0,2.0,2.0
158,14.999999999999996,60.0,2.0,2.0
159,13.999999999999996,60.0,2.0,2.0
160,12.999999999999996,60.0,2.0,2.0
161,11.999999999999993,60.0,2.0,2.0
162,11.0,60.0,2.0,2.0
163,10.000000000000004,60.0,2.0,2.0
164,8.999999999999993,60.0,2.0,2.0
165,7.9999999999999964,60.0,2.0,2.0
166,7.0000000000000036,60.0,2.0,2.0
167,6.0000000000000036,60.0,2.0,2.0
168,4.9999999999999964,60.0,2.0,2.0
169,4.0,60.0,2.0,2.0
170,3.0,60.0,2.0,2.0
171,2.0,60.0,2.0,2.0
172,1.0,60.0,2.0,2.0
173,-7.105427357601002e-15,60.0,2.0,2.0
174,-1.000000000000007,60.0,2.0,2.0
175,-2.000000000000007,60.0,2.0,2.0
176,-3.0,60.0,2.0,2.0
177,-4.000000000000011,59.99999999999999,2.0,2.0
178,-5.000000000000007,60.0,2.0,2.0
179,-6.0,60.0,2.0,2.0
180,-7.0,60.0,2.0,2.0
181,-8.000000000000007,60.0,2.0,2.0
182,-9.0,60.0,2.0,2.0
183,-10.0,60.0,2.0,2.0
184,-11.0,60.0,2.0,2.0
185,-12.000000000000004,60.00000000000001,2.0,2.0
186,-13.00000000000001,60.0,2.0,2.0
187,-14.000000000000007,59.99999999999999,2.0,2.0
188,-15.000000000000004,60.0,2.0,2.0
189,-15.999999999999996,60.0,2.0,2.0
190,-17.00000000000001,60.0,2.0,2.0
191,-18.000000000000004,60.0,2.0,2.0
192,-19.0,60.00000000000001,2.0,2.0
193,-19.999999999999996,60.0,2.0,2.0
194,-21.000000000000004,60.0,2.0,2.0
195,-22.000000000000007,60.0,2.0,2.0
196,-23.000000000000007,60.0,2.0,2.0
197,-24.000000000000007,60.0,2.0,2.0
198,-25.0,60.0,2.0,2.0
199,-26.000000000000007,60.0,2.0,2.0
200,-27.000000000000014,60.0,2.0,2.0
201,-28.0,60.0,2.0,2.0
202,-29.000000000000007,60.0,2.0,2.0
203,-30.000000000000004,60.0,2.0,2.0
204,-31.0,60.0,2.0,2.0
205,-32.00000000000001,60.0,2.0,2.0
206,-33.0,60.0,2.0,2.0
207,-34.000000000000014,60.0,2.0,2.0
208,-35.0,60.0,2.0,2.0
209,-36.0,60.0,2.0,2.0
210,-37.000000000000014,60.0,2.0,2.0
211,-38.0,60.0,2.0,2.0
212,-39.0,60.0,2.0,2.0
213,-40.000000000000014,60.0,2.0,2.0
214,-41.00000000000001,60.0,2.0,2.0
215,-42.000000000000014,60.0,2.0,2.0
216,-43.0,60.0,2.0,2.0
217,-44.00000000000001,60.0,2.0,2.0
218,-45.000000000000014,60.0,2.0,2.0
219,-46.0,60.0,2.0,2.0
220,-47.00000000000001,60.0,2.0,2.0
221,-47.99999999999999,60.0,2.0,2.0
222,-49.0,60.0,2.0,2.0
223,-50.00000000000001,60.0,2.0,2.0
224,-51.0,60.0,2.0,2.0
225,-52.0,60.0,2.0,2.0
226,-53.00000000000001,60.0,2.0,2.0
227,-54.000000000000014,60.0,2.0,2.0
228,-55.0,60.0,2.0,2.0
229,-56.00000000000001,60.0,2.0,2.0
230,-57.000000000000014,60.0,2.0,2.0
231,-58.000000000000014,60.0,2.0,2.0
232,-59.00000000000001,60.0,2.0,2.0
233,-60.000000000000014,60.0,2.0,2.0
234,-61.00000000000002,60.0,2.0,2.0
235,-62.00000000000001,60.0,2.0,2.0
236,-63.000000000000014,60.0,2.0,2.0
237,-64.0,60.0,2.0,2.0
238,-65.0,60.0,2.0,2.0
239,-66.00000000000001,60.0,2.0,2.0
240,-67.0,60.0,2.0,2.0
241,-68.00000000000001,60.0,2.0,2.0
242,-69.0,60.0,2.0,2.0
243,-70.0,60.0,2.0,2.0
244,-71.00000000000001,60.0,2.0,2.0
245,-72.0,60.0,2.0,2.0
246,-73.0,60.0,2.0,2.0
247,-74.00000000000001,60.0,2.0,2.0
248,-75.00000000000001,60.0,2.0,2.0
249,-76.00000000000001,60.0,2.0,2.0
250,-77.0,60.0,2.0,2.0
251,-78.00000000000001,60.0,2.0,2.0
252,-79.09090909090911,60.0,2.0,2.0
253,-80.18181818181819,60.0,2.0,2.0
254,-81.27272727272728,60.0,2.0,2.0
255,-82.36363636363637,60.0,2.0,2.0
256,-83.45454545454547,60.0,2.0,2.0
257,-84.54545454545456,60.0,2.0,2.0
258,-85.63636363636364,60.0,2.0,2.0
259,-86.72727272727272,60.0,2.0,2.0
260,-87.81818181818181,60.0,2.0,2.0
261,-88.9090909090909,60.0,2.0,2.0
262,-90.0,60.0,2.0,2.0
263,-91.04528463267654,59.94521895368273,2.0,2.0
264,-92.0791169081776,59.78147600733806,2.0,2.0
265,-93.09016994374947,59.510565162951536,2.0,2.0
266,-94.067366430758,59.13545457642601,2.0,2.0
267,-95.0,58.66025403784438,2.0,2.0
268,-95.87785252292473,58.09016994374947,2.0,2.0
269,-96.69130606358858,57.43144825477394,2.0,2.0
270,-97.43144825477394,56.691306063588584,2.0,2.0
271,-98.09016994374947,55.877852522924734,2.0,2.0
272,-98.66025403784438,55.0,2.0,2.0
273,-99.13545457642601,54.067366430758,2.0,2.0
274,-99.51056516295154,53.09016994374947,2.0,2.0
275,-99.78147600733806,52.079116908177596,2.0,2.0
276,-99.94521895368274,51.045284632676534,2.0,2.0
277,-100.0,50.0,2.0,2.0
278,-100.0,48.90909090909091,2.0,2.0
279,-100.0,47.81818181818181,2.0,2.0
280,-100.0,46.727272727272734,2.0,2.0
281,-100.0,45.63636363636363,2.0,2.0
282,-100.0,44.54545454545455,2.0,2.0
283,-100.0,43.45454545454545,2.0,2.0
284,-100.0,42.36363636363636,2.0,2.0
285,-100.0,41.27272727272727,2.0,2.0
286,-100.0,40.18181818181818,2.0,2.0
287,-100.0,39.090909090909086,2.0,2.0
288,-100.0,38.0,2.0,2.0
289,-100.0,37.0,2.0,2.0
290,-100.0,36.00000000000001,2.0,2.0
291,-100.0,35.0,2.0,2.0
292,-100.0,33.0,2.0,2.0
293,-100.0,32.0,2.0,2.0
294,-99.99999999999999,31.0,2.0,2.0
295,-100.0,30.000000000000007,2.0,2.0
296,-100.0,29.000000000000004,2.0,2.0
297,-100.0,28.0,2.0,2.0
298,-100.0,27.0,2.0,2.0
299,-100.0,26.0,2.0,2.0
300,-100.0,25.000000000000007,2.0,2.0
301,-100.0,24.000000000000004,2.0,2.0
302,-100.0,22.999999999999996,2.0,2.0
303,-100.0,22.0,2.0,2.0
304,-100.0,21.000000000000007,2.0,2.0
305,-100.0,19.999999999999996,2.0,2.0
306,-100.0,19.000000000000007,2.0,2.0
307,-100.0,18.000000000000004,2.0,2.0
308,-100.0,17.000000000000004,2.0,2.0
309,-100.0,16.000000000000007,2.0,2.0
310,-100.0,15.0,2.0,2.0
311,-100.0,14.0,2.0,2.0
312,-100.0,13.000000000000004,2.0,2.0
313,-100.0,12.000000000000004,2.0,2.0
314,-100.0,11.0,2.0,2.0
315,-100.0,10.0,2.0,2.0
316,-100.0,9.0,2.0,2.0
317,-100.0,8.000000000000004,2.0,2.0
318,-100.0,7.0,2.0,2.0
319,-100.0,5.9999999999999964,2.0,2.0
320,-100.0,5.0,2.0,2.0
321,-100.0,4.0000000000000036,2.0,2.0
322,-100.0,3.0,2.0,2.0
323,-100.0,2.000000000000007,2.0,2.0
324,-100.0,0.9999999999999964,2.0,2.0
325,-100.0,3.552713678800501e-15,2.0,2.0
326,-100.0,-1.0,2.0,2.0
327,-100.0,-1.9999999999999964,2.0,2.0
328,-100.0,-3.0000000000000036,2.0,2.0
329,-100.0,-3.9999999999999964,2.0,2.0
330,-100.0,-4.999999999999989,2.0,2.0
331,-100.0,-6.0,2.0,2.0
332,-100.0,-6.999999999999989,2.0,2.0
333,-100.0,-7.9999999999999964,2.0,2.0
334,-100.0,-8.999999999999993,2.0,2.0
335,-100.0,-9.999999999999996,2.0,2.0
336,-100.0,-10.99999999999999,2.0,2.0
337,-100.0,-12.0,2.0,2.0
338,-100.0,-12.999999999999993,2.0,2.0
339,-100.0,-13.999999999999996,2.0,2.0
340,-100.0,-14.999999999999993,2.0,2.0
341,-100.0,-16.0,2.0,2.0
342,-100.0,-16.999999999999996,2.0,2.0
343,-100.0,-18.0,2.0,2.0
344,-100.0,-18.999999999999996,2.0,2.0
345,-100.0,-20.000000000000004,2.0,2.0
346,-100.0,-20.999999999999993,2.0,2.0
347,-100.0,-21.99999999999999,2.0,2.0
348,-100.0,-23.0,2.0,2.0
349,-100.0,-23.999999999999993,2.0,2.0
350,-100.0,-24.999999999999996,2.0,2.0
351,-100.0,-25.999999999999993,2.0,2.0
352,-100.0,-27.0,2.0,2.0
353,-100.0,-27.999999999999996,2.0,2.0
354,-99.99999999999999,-28.999999999999993,2.0,2.0
355,-100.0,-30.0,2.0,2.0
356,-100.0,-30.999999999999996,2.0,2.0
357,-100.0,-32.0,2.0,2.0
358,-100.0,-33.0,2.0,2.0
359,-100.0,-34.0,2.0,2.0
360,-100.0,-35.0,2.0,2.0
361,-100.0,-36.0,2.0,2.0
362,-100.0,-37.0,2.0,2.0
363,-100.0,-38.0,2.0,2.0
364,-100.0,-39.0,2.0,2.0
365,-100.0,-40.0,2.0,2.0
366,-99.94521895368274,-41.045284632676534,2.0,2.0
367,-99.78147600733806,-42.079116908177596,2.0,2.0
368,-99.51056516295154,-43.09016994374947,2.0,2.0
369,-99.13545457642601,-44.067366430758,2.0,2.0
370,-98.66025403784438,-45.0,2.0,2.0
371,-98.09016994374947,-45.877852522924734,2.0,2.0
372,-97.43144825477394,-46.691306063588584,2.0,2.0
373,-96.69130606358858,-47.43144825477394,2.0,2.0
374,-95.87785252292473,-48.09016994374947,2.0,2.0
375,-95.0,-48.66025403784438,2.0,2.0
376,-94.067366430758,-49.13545457642601,2.0,2.0
377,-93.09016994374947,-49.510565162951536,2.0,2.0
378,-92.0791169081776,-49.78147600733806,2.0,2.0
379,-91.04528463267654,-49.94521895368273,2.0,2.0
380,-90.0,-50.0,2.0,2.0
381,-88.9090909090909,-50.0,2.0,2.0
382,-87.81818181818181,-50.0,2.0,2.0
383,-86.72727272727272,-50.0,2.0,2.0
384,-85.63636363636364,-50.0,2.0,2.0
385,-84.54545454545455,-50.0,2.0,2.0
386,-83.45454545454545,-50.0,2.0,2.0
387,-82.36363636363636,-50.0,2.0,2.0
388,-81.27272727272727,-50.0,2.0,2.0
389,-80.18181818181819,-50.0,2.0,2.0
390,-79.0909090909091,-50.0,2.0,2.0
391,-78.0,-50.0,2.0,2.0
392,-77.0,-50.0,2.0,2.0
393,-76.0,-50.0,2.0,2.0
394,-75.0,-50.0,2.0,2.0
395,-74.0,-50.0,2.0,2.0
396,-73.0,-50.0,2.0,2.0
397,-72.0,-50.0,2.0,2.0
398,-70.9090909090909,-50.0,2.0,2.0
399,-69.81818181818181,-50.0,2.0,2.0
400,-68.72727272727273,-50.0,2.0,2.0
401,-67.63636363636364,-50.0,2.0,2.0
402,-66.54545454545453,-50.0,2.0,2.0
403,-65.45454545454547,-50.0,2.0,2.0
404,-64.36363636363636,-50.0,2.0,2.0
405,-63.27272727272727,-50.0,2.0,2.0
406,-62.18181818181818,-50.0,2.0,2.0
407,-61.090909090909086,-50.0,2.0,2.0
408,-60.0,-50.0,2.0,2.0
409,-58.954715367323466,-49.94521895368273,2.0,2.0
410,-57.920883091822404,-49.78147600733806,2.0,2.0
411,-56.90983005625053,-49.510565162951536,2.0,2.0
412,-55.932633569242,-49.13545457642601,2.0,2.0
413,-55.0,-48.66025403784438,2.0,2.0
414,-54.122147477075266,-48.09016994374947,2.0,2.0
415,-53.308693936411416,-47.43144825477394,2.0,2.0
416,-52.56855174522606,-46.691306063588584,2.0,2.0
417,-51.90983005625053,-45.877852522924734,2.0,2.0
418,-51.33974596215562,-45.0,2.0,2.0
419,-50.86454542357399,-44.067366430758,2.0,2.0
420,-50.489434837048464,-43.09016994374947,2.0,2.0
421,-50.21852399266194,-42.079116908177596,2.0,2.0
422,-50.05478104631727,-41.045284632676534,2.0,2.0
423,-50.0,-40.0,2.0,2.0
424,-50.0,-38.90909090909091,2.0,2.0
425,-50.0,-37.81818181818182,2.0,2.0
426,-50.0,-36.727272727272734,2.0,2.0
427,-50.0,-35.63636363636364,2.0,2.0
428,-50.0,-34.54545454545455,2.0,2.0
429,-50.0,-33.45454545454545,2.0,2.0
430,-50.0,-32.36363636363637,2.0,2.0
431,-50.0,-31.272727272727273,2.0,2.0
432,-50.0,-30.181818181818183,2.0,2.0
433,-50.0,-29.090909090909093,2.0,2.0
434,-50.0,-28.000000000000004,2.0,2.0
435,-50.0,-27.0,2.0,2.0
436,-50.0,-26.0,2.0,2.0
437,-50.0,-25.0,2.0,2.0
438,-50.0,-24.0,2.0,2.0
439,-50.0,-23.0,2.0,2.0
440,-50.0,-21.999999999999996,2.0,2.0
441,-50.0,-20.909090909090907,2.0,2.0
442,-50.0,-19.818181818181817,2.0,2.0
443,-50.0,-18.727272727272727,2.0,2.0
444,-50.0,-17.636363636363637,2.0,2.0
445,-50.0,-16.545454545454543,2.0,2.0
446,-50.0,-15.454545454545455,2.0,2.0
447,-50.0,-14.363636363636363,2.0,2.0
448,-50.0,-13.272727272727273,2.0,2.0
449,-50.0,-12.181818181818182,2.0,2.0
450,-50.0,-11.090909090909092,2.0,2.0
451,-50.0,-10.000000000000002,2.0,2.0
452,-49.94521895368273,-8.954715367323466,2.0,2.0
453,-49.78147600733806,-7.9208830918224065,2.0,2.0
454,-49.510565162951536,-6.9098300562505255,2.0,2.0
455,-49.13545457642601,-5.9326335692419985,2.0,2.0
456,-48.66025403784438,-5.0,2.0,2.0
457,-48.09016994374947,-4.122147477075269,2.0,2.0
458,-47.43144825477394,-3.3086939364114194,2.0,2.0
459,-46.691306063588584,-2.568551745226059,2.0,2.0
460,-45.877852522924734,-1.9098300562505273,2.0,2.0
461,-45.0,-1.3397459621556145,2.0,2.0
462,-44.067366430758,-0.8645454235739916,2.0,2.0
463,-43.09016994374947,-0.48943483704846535,2.0,2.0
464,-42.079116908177596,-0.2185239926619449,2.0,2.0
465,-41.045284632676534,-0.05478104631726666,2.0,2.0
466,-40.0,0.0,2.0,2.0
467,-38.90909090909091,0.0,2.0,2.0
468,-37.81818181818182,0.0,2.0,2.0
469,-36.727272727272734,0.0,2.0,2.0
470,-35.63636363636364,0.0,2.0,2.0
471,-34.54545454545455,0.0,2.0,2.0
472,-33.45454545454545,0.0,2.0,2.0
473,-32.36363636363637,0.0,2.0,2.0
474,-31.272727272727273,0.0,2.0,2.0
475,-30.181818181818183,0.0,2.0,2.0
476,-29.090909090909093,0.0,2.0,2.0
477,-28.000000000000004,0.0,2.0,2.0
